Id_Periodo,Periodo,Ano,Mes,Nombre_Mes,Q,Dias
0,"(2010,1)",2010,1,Enero,Q1,31
1,"(2010,2)",2010,2,Febrero,Q1,28
2,"(2010,3)",2010,3,Marzo,Q1,31
3,"(2010,4)",2010,4,Abril,Q2,30
4,"(2010,5)",2010,5,Mayo,Q2,31
5,"(2010,6)",2010,6,Junio,Q2,30
6,"(2010,7)",2010,7,Julio,Q3,31
7,"(2010,8)",2010,8,Agosto,Q3,31
8,"(2010,9)",2010,9,Septiembre,Q3,30
9,"(2010,10)",2010,10,Octubre,Q4,31
10,"(2010,11)",2010,11,Noviembre,Q4,30
11,"(2010,12)",2010,12,Diciembre,Q4,31
12,"(2011,1)",2011,1,Enero,Q1,31
13,"(2011,2)",2011,2,Febrero,Q1,28
14,"(2011,3)",2011,3,Marzo,Q1,31
15,"(2011,4)",2011,4,Abril,Q2,30
16,"(2011,5)",2011,5,Mayo,Q2,31
17,"(2011,6)",2011,6,Junio,Q2,30
18,"(2011,7)",2011,7,Julio,Q3,31
19,"(2011,8)",2011,8,Agosto,Q3,31
20,"(2011,9)",2011,9,Septiembre,Q3,30
21,"(2011,10)",2011,10,Octubre,Q4,31
22,"(2011,11)",2011,11,Noviembre,Q4,30
23,"(2011,12)",2011,12,Diciembre,Q4,31
24,"(2012,1)",2012,1,Enero,Q1,31
25,"(2012,2)",2012,2,Febrero,Q1,28
26,"(2012,3)",2012,3,Marzo,Q1,31
27,"(2012,4)",2012,4,Abril,Q2,30
28,"(2012,5)",2012,5,Mayo,Q2,31
29,"(2012,6)",2012,6,Junio,Q2,30
30,"(2012,7)",2012,7,Julio,Q3,31
31,"(2012,8)",2012,8,Agosto,Q3,31
32,"(2012,9)",2012,9,Septiembre,Q3,30
33,"(2012,10)",2012,10,Octubre,Q4,31
34,"(2012,11)",2012,11,Noviembre,Q4,30
35,"(2012,12)",2012,12,Diciembre,Q4,31
36,"(2013,1)",2013,1,Enero,Q1,31
37,"(2013,2)",2013,2,Febrero,Q1,28
38,"(2013,3)",2013,3,Marzo,Q1,31
39,"(2013,4)",2013,4,Abril,Q2,30
40,"(2013,5)",2013,5,Mayo,Q2,31
41,"(2013,6)",2013,6,Junio,Q2,30
42,"(2013,7)",2013,7,Julio,Q3,31
43,"(2013,8)",2013,8,Agosto,Q3,31
44,"(2013,9)",2013,9,Septiembre,Q3,30
45,"(2013,10)",2013,10,Octubre,Q4,31
46,"(2013,11)",2013,11,Noviembre,Q4,30
47,"(2013,12)",2013,12,Diciembre,Q4,31
